Cod_Sexo,EstCivil,Carrera,Edad,ALG_GEO_ANALITICA_I,ALG_GEO_ANALITICA_II,ANALISIS_MAT_I,ANALISIS_MAT_II,COMPUTACION_NIV_I,ELEMENTOS_PROG_I,MAT_DISCRETA,QUIMICA_GRAL,TECN_ING_SOC,SIST_REP,INGLES_TECN_I,FISICA_I,TICs,Situacion
2,1,201,33,[No_Cursada],[No_Cursada],[Cursada Ausente],[No_Cursada],[No_Cursada],[Cursada Ausente],[No_Cursada],[No_Cursada],[Cursada Ausente],[Cursada Ausente],[No_Cursada],[No_Cursada],[No_Cursada],ABANDONO
1,0,201,33,[No_Cursada],[No_Cursada],[No_Cursada],[No_Cursada],[No_Cursada],[Cursada Ausente],[No_Cursada],[No_Cursada],[Cursada Ausente],[No_Cursada],[No_Cursada],[No_Cursada],[Cursada Ausente],NO_ABANDONO
1,1,202,33,[Cursada Aprobada],[No_Cursada],[Cursada Ausente],[No_Cursada],[No_Cursada],[Cursada Ausente],[Cursada Ausente],[Cursada Promocionada],[Cursada Promocionada],[Cursada Promocionada],[No_Cursada],[No_Cursada],[Cursada Promocionada],NO_ABANDONO
2,1,207,33,[Final Ausente],[No_Cursada],[No_Cursada],[Cursada Ausente],[No_Cursada],[Cursada Ausente],[Cursada Promocionada],[Cursada Aprobada],[No_Cursada],[Cursada Promocionada],[No_Cursada],[No_Cursada],[Cursada Ausente],NO_ABANDONO
1,2,203,32,[Final Reprobada],[No_Cursada],[No_Cursada],[No_Cursada],[No_Cursada],[No_Cursada],[Cursada Promocionada],[Cursada Ausente],[No_Cursada],[No_Cursada],[No_Cursada],[No_Cursada],[Cursada Ausente],ABANDONO
1,1,207,32,[Cursada Ausente],[No_Cursada],[No_Cursada],[No_Cursada],[Cursada Promocionada],[No_Cursada],[Cursada Ausente],[Cursada Promocionada],[Cursada Promocionada],[Cursada Promocionada],[Cursada Promocionada],[No_Cursada],[Cursada Ausente],NO_ABANDONO
1,2,203,32,[No_Cursada],[No_Cursada],[No_Cursada],[No_Cursada],[No_Cursada],[Cursada Promocionada],[Cursada Ausente],[Cursada Ausente],[Cursada Promocionada],[Cursada Ausente],[No_Cursada],[No_Cursada],[Cursada Promocionada],NO_ABANDONO
1,1,207,32,[Cursada Aprobada],[Cursada Reprobada],[Cursada Ausente],[No_Cursada],[No_Cursada],[Cursada Promocionada],[Cursada Ausente],[Cursada Reprobada],[Final Aprobada],[Cursada Ausente],[No_Cursada],[No_Cursada],[Cursada Ausente],NO_ABANDONO
1,1,201,32,[Cursada Ausente],[Cursada Aprobada],[Cursada Promocionada],[Cursada Promocionada],[Cursada Ausente],[Cursada Promocionada],[Final Ausente],[Cursada Ausente],[Cursada Promocionada],[Cursada Promocionada],[No_Cursada],[Cursada Ausente],[Cursada Promocionada],NO_ABANDONO
1,1,202,32,[No_Cursada],[No_Cursada],[Cursada Ausente],[No_Cursada],[Cursada Promocionada],[Cursada Ausente],[No_Cursada],[Cursada Ausente],[Cursada Promocionada],[Cursada Promocionada],[No_Cursada],[No_Cursada],[No_Cursada],NO_ABANDONO
